Matrix,Living together unmarried,Attending demonstrations,Belief in God,Belief nature can cope with modern industry,Spirituality can exist w/o religious services,Confidence in Government,Confidence in political parties,Confidence in armed forces,Confidence in the church,Confidence in health care system,Confidence in justice system,Confidence in United Nations Organization,Duty to society - have children,Feeling - people can be trusted,Importance of God,Importance of leisure,Importance of work,Important in jobs: good pay,Important to learn at home: religion,Interest in politics,Interest in the sacred/supernatural,Job satisfaction,Work- duty towards society,Justifiable: abortion,Justifiable: officials accepting a bribe,National pride,Not as a neighbour: homosexuals,Participation in elections,Pre-school child suffers when mother works,Weekly attendace: relgious services,Increase of immigrants: threat to society
Albania,49,47,94,45,43,25,22,51,52,27,25,75,41,10,67,65,96,96,21,30,59,65,49,24,21,88,52,74,58,13,50
Armenia,45,32,97,85,69,53,32,89,84,62,42,58,54,21,82,86,95,96,12,55,66,52,60,21,6,89,43,79,61,17,47
Austria,81,52,80,30,55,18,15,43,36,72,65,33,25,36,53,89,89,67,17,60,57,74,72,40,10,89,24,85,65,19,64
Azerbaijan,6,36,89,54,48,60,67,80,74,73,68,74,28,45,67,81,93,70,39,48,63,56,76,6,9,75,91,81,85,12,58
Belarus,61,34,86,25,50,66,31,74,78,69,62,57,57,45,61,78,88,93,13,44,60,62,63,34,21,88,63,81,62,9,58
Belgium,88,62,61,24,48,32,21,50,36,91,50,62,14,36,41,88,90,60,10,34,49,75,74,44,11,88,7,96,38,15,63
Bosnia & Herzegovina,45,58,96,40,53,21,13,44,59,57,39,33,29,27,79,90,94,92,43,41,71,69,47,22,8,61,61,67,52,33,49
Bulgaria,61,44,75,33,50,13,9,43,40,21,18,47,71,18,53,83,90,97,20,51,53,71,77,41,5,80,50,68,43,8,50
Croatia,55,69,90,27,50,14,8,47,53,40,19,27,25,20,69,89,92,84,37,35,74,68,49,28,7,90,49,80,48,26,56
Cyprus,46,51,98,34,66,60,30,63,68,57,65,35,56,9,83,93,94,94,57,52,76,78,78,14,6,94,38,86,71,27,76
Czech Republic,58,54,36,42,39,21,16,34,20,42,35,47,44,31,31,86,83,85,12,44,32,72,52,49,18,84,22,66,41,13,64
Denmark,96,69,63,26,58,55,44,72,63,75,87,75,16,76,34,93,87,54,8,66,41,78,79,72,2,91,5,97,9,5,50
Estonia,76,43,48,25,42,36,12,59,44,53,54,53,31,32,36,81,87,94,6,50,43,67,53,36,6,81,47,67,57,7,61
Finland,82,63,69,14,53,42,15,83,47,73,73,58,10,65,47,95,82,58,9,43,48,72,62,60,3,93,12,90,22,7,53
France,92,78,52,14,53,34,16,73,41,78,56,64,20,27,36,85,95,58,7,48,42,70,71,56,11,91,5,89,39,11,53
Georgia,32,57,99,39,32,49,25,76,95,57,32,68,65,23,89,83,87,96,66,66,69,64,65,22,5,96,85,90,82,22,68
Germany,80,63,63,33,48,29,14,58,40,34,58,40,30,40,44,87,82,73,10,69,43,74,71,40,11,75,16,83,58,12,61
Greece,70,54,93,26,67,22,16,70,52,39,50,36,46,22,75,96,94,94,42,51,58,68,64,35,9,94,30,88,73,19,66
Hungary,70,25,71,34,44,17,10,41,43,32,39,50,36,21,51,86,91,85,22,38,46,67,69,42,10,85,30,74,55,12,63
Iceland,94,84,72,27,64,33,17,44,64,94,67,71,8,51,54,91,97,79,7,63,67,81,57,55,2,92,1,87,18,7,45
Ireland,77,55,90,45,65,38,32,72,54,32,50,61,19,38,66,94,85,87,26,48,61,80,67,25,12,99,16,90,34,41,64
Italy,54,73,91,19,47,28,14,75,67,54,36,64,23,31,70,83,96,76,37,40,61,70,70,28,6,88,21,86,76,35,57
Latvia,75,60,77,40,59,21,14,60,62,54,44,52,34,26,51,76,88,88,15,53,52,68,50,32,15,78,43,73,68,8,65
Lithuania,53,60,87,36,57,25,9,71,80,32,25,69,28,30,59,78,86,96,15,32,53,69,43,38,14,73,66,63,70,13,67
Luxembourg,90,73,70,21,56,68,40,55,44,87,68,69,25,33,46,87,97,81,12,55,53,76,76,43,7,92,19,77,58,16,49
Macedonia,50,76,95,53,52,52,34,74,76,54,38,55,56,19,74,91,88,93,21,45,68,67,64,37,8,89,58,76,42,14,51
Malta,41,47,99,43,45,52,37,83,77,83,47,65,48,23,89,91,92,90,36,51,75,75,80,6,4,97,20,91,78,78,88
Moldova,47,47,98,43,64,34,19,59,84,53,42,50,53,12,84,76,91,97,40,41,65,69,62,14,13,82,76,86,49,14,49
Montenegro,57,51,88,40,33,39,16,37,63,56,44,38,26,25,67,92,92,94,18,28,62,68,43,32,4,83,64,74,60,8,45
Netherlands,87,57,58,26,43,49,33,55,35,71,56,56,4,63,42,96,89,76,13,60,61,74,71,49,6,87,10,88,39,19,54
Northern Cyprus,44,53,98,55,73,48,33,92,74,61,68,42,46,5,85,75,94,95,35,51,67,71,66,23,2,90,30,72,70,20,44
Northern Ireland,78,46,91,34,65,21,16,65,65,62,41,47,14,29,64,90,73,88,28,35,54,75,67,26,11,95,19,66,34,43,66
Norway,88,80,56,33,35,51,35,57,44,74,78,82,13,74,37,95,94,56,9,70,47,78,82,58,4,91,6,90,19,9,55
Poland,61,52,96,46,54,23,12,63,65,44,44,55,30,28,77,87,91,93,33,40,52,72,48,25,12,96,52,66,62,54,49
Portugal,83,55,86,26,61,30,26,75,67,58,48,72,41,20,61,89,97,88,14,34,55,68,83,39,9,94,21,71,65,25,53
Romania,60,33,98,47,66,25,18,76,85,54,42,59,42,18,85,82,91,93,74,34,56,70,55,30,12,86,54,75,53,29,44
Russian Federation,61,34,77,38,52,60,26,73,67,51,41,40,40,29,60,79,82,93,14,37,39,67,43,37,14,91,61,74,62,8,72
Serbia,62,58,92,33,48,15,7,42,61,41,25,17,35,12,66,90,93,90,25,37,60,67,51,32,5,86,54,77,50,9,57
Slovakia,36,37,81,31,52,49,23,69,56,56,36,60,31,13,62,85,91,92,30,48,50,73,61,37,18,91,30,79,39,37,63
Slovenia,73,64,66,35,51,41,23,68,49,69,47,64,31,24,46,87,94,76,13,44,65,72,77,54,6,93,33,73,36,20,59
Spain,84,71,76,26,51,35,18,57,31,79,42,47,32,35,52,91,92,77,12,35,49,70,64,43,6,92,5,82,48,21,51
Sweden,94,84,46,15,53,54,28,41,39,75,69,71,4,70,31,95,89,62,6,44,45,73,62,75,13,88,7,94,19,9,44
Switzerland,89,62,75,20,60,61,25,41,39,78,75,57,24,55,54,92,95,56,13,47,56,79,74,45,6,87,7,70,60,13,50
Turkey,32,34,99,59,67,53,31,90,85,78,81,33,64,11,93,86,95,97,47,49,81,64,84,10,3,95,89,89,80,39,64
Ukraine,51,43,90,33,53,24,17,59,78,44,25,46,48,28,70,81,82,93,24,49,67,67,56,27,7,74,59,74,71,14,61
United Kingdom,81,48,65,35,51,19,14,89,36,80,51,51,10,40,41,91,74,75,14,42,51,72,68,43,5,91,10,73,36,17,69